Time,Close,Open,High,Low,Body,UpperWick,LowerWick,Range,C1,H1,L1,B1,C2,H2,L2,B2,C3,H3,L3,B3,C4,H4,L4,B4,C5,H5,L5,B5,EMA9,EMA21,EMA50,EMA200,FastSlope,SlopeAccel,TrendUp,TrendDown,DistEMA200,Mom,ADX,ATR,BBWidth,Vol,VolSMA,VolNorm,VolPressure,LocalHigh10,LocalLow10,DistLocalHigh10,DistLocalLow10,SweepUp,SweepDown,IsTradeBar,IsLong,IsShort,BarsSinceEntry
2026-02-16 09:21:00,6906.75,6906.25,6907.25,6905.5,0.5,0.5,0.75,1.75,6906.25,6907.75,6905.5,-0.5,6906.75,6907.75,6905.0,-1.0,6907.5,6909.0,6907.0,-1.25,6909.0,6909.75,6907.25,1.75,6907.25,6908.25,6906.75,0.0,6907.79423799245,6908.50476643253,6908.145019505,6908.33399185494,-1.1515393365471,0.190264874528111,0,0,-6.33596741974543,-6.0,20.1465438091446,2.2298320462105,8.96256101792278,220,330.7,0.665255518596916,0.665255518596916,6912.0,6905.0,-21,7,0,0,0,0,0,0
2026-02-16 09:22:00,6904.5,6906.5,6906.75,6901.75,-2.0,0.25,2.75,5.0,6906.75,6907.25,6905.5,0.5,6906.25,6907.75,6905.5,-0.5,6906.75,6907.75,6905.0,-1.0,6907.5,6909.0,6907.0,-1.25,6909.0,6909.75,6907.25,1.75,6907.13539039396,6908.14069675685,6908.00207756363,6908.29584268225,-1.37123146923841,-0.39778810037842,0,0,-15.1833707290025,-8.25,21.0731664440579,2.42770118576689,10.1168176814645,724,342.85,2.11171066063876,-2.11171066063876,6912.0,6901.75,-30,11,0,0,0,0,0,0
2026-02-16 09:23:00,6903.0,6904.5,6904.5,6900.75,-1.5,0.0,2.25,3.75,6904.5,6906.75,6901.75,-2.0,6906.75,6907.25,6905.5,0.5,6906.25,6907.75,6905.5,-0.5,6906.75,6907.75,6905.0,-1.0,6907.5,6909.0,6907.0,-1.25,6906.30831231517,6907.67336068804,6907.80591765917,6908.24314773019,-1.74698517539036,-0.168230480301645,0,1,-20.9725909207555,-10.0,22.2657027167249,2.52215110106926,11.4362362689826,687,365.25,1.88090349075975,-1.88090349075975,6910.75,6900.75,-31,9,0,0,0,0,0,0
2026-02-16 09:24:00,6904.25,6903.0,6904.5,6903.0,1.25,0.25,0.0,1.5,6903.0,6904.5,6900.75,-1.5,6904.5,6906.75,6901.75,-2.0,6906.75,6907.25,6905.5,0.5,6906.25,6907.75,6905.5,-0.5,6906.75,6907.75,6905.0,-1.0,6905.89664985213,6907.36214608004,6907.66646990783,6908.20341491695,-1.89758814031211,0.41541561575832,0,1,-15.813659667816,-7.75,23.3730578270585,2.44914030813574,12.0764233115606,258,360.3,0.716069941715237,0.716069941715237,6909.75,6900.75,-22,14,0,0,0,0,0,0
2026-02-16 09:25:00,6903.0,6904.25,6904.5,6902.5,-1.25,0.25,0.5,2.0,6904.25,6904.5,6903.0,1.25,6903.0,6904.5,6900.75,-1.5,6904.5,6906.75,6901.75,-2.0,6906.75,6907.25,6905.5,0.5,6906.25,6907.75,6905.5,-0.5,6905.31731988171,6906.96558734549,6907.48347108792,6908.15163964415,-1.8180705122486,-0.167667507393162,0,1,-20.6065585765937,-7.25,24.5735639940989,2.41705885755462,12.6707339961031,291,350.4,0.830479452054795,-0.830479452054795,6909.75,6900.75,-27,9,0,0,0,0,0,0
2026-02-16 09:26:00,6902.0,6902.75,6902.75,6900.75,-0.75,0.0,1.25,2.0,6903.0,6904.5,6902.5,-1.25,6904.25,6904.5,6903.0,1.25,6903.0,6904.5,6900.75,-1.5,6904.5,6906.75,6901.75,-2.0,6906.75,6907.25,6905.5,0.5,6904.65385590537,6906.51417031408,6907.26843300604,6908.09042929943,-1.65445640979942,-0.0841340059159847,0,1,-24.3617171977203,-8.5,26.2328677971324,2.405126082015,13.3060136780332,332,349.0,0.951289398280802,-0.951289398280802,6909.75,6900.75,-31,5,0,0,0,0,0,0
2026-02-16 09:27:00,6901.0,6901.5,6902.0,6900.5,-0.5,0.5,0.5,1.5,6902.0,6902.75,6900.75,-0.75,6903.0,6904.5,6902.5,-1.25,6904.25,6904.5,6903.0,1.25,6903.0,6904.5,6900.75,-1.5,6904.5,6906.75,6901.75,-2.0,6903.92308472429,6906.01288210371,6907.02261210384,6908.01987776411,-1.97356512783972,-0.0673072047311507,0,1,-28.0795110564504,-8.75,27.8453440222082,2.34047421901393,13.7959233108922,296,350.55,0.844387391242333,-0.844387391242333,6909.0,6900.5,-32,2,0,0,0,0,0,0
2026-02-16 09:28:00,6902.25,6901.0,6903.0,6901.0,1.25,0.75,0.0,2.0,6901.0,6902.0,6900.5,-0.5,6902.0,6902.75,6900.75,-0.75,6903.0,6904.5,6902.5,-1.25,6904.25,6904.5,6903.0,1.25,6903.0,6904.5,6900.75,-1.5,6903.58846777943,6905.67080191246,6906.83545084487,6907.96246604507,-1.72885210227287,0.396154236213988,0,1,-22.8498641802689,-6.5,28.5295286177279,2.3161546319415,13.5036106282732,289,349.55,0.826777285080818,0.826777285080818,6907.75,6900.5,-22,7,0,0,0,0,0,0
2026-02-16 09:29:00,6901.5,6902.25,6902.5,6900.75,-0.75,0.25,0.75,1.75,6902.25,6903.0,6901.0,1.25,6901.0,6902.0,6900.5,-0.5,6902.0,6902.75,6900.75,-0.75,6903.0,6904.5,6902.5,-1.25,6904.25,6904.5,6903.0,1.25,6903.17077422355,6905.29163810224,6906.6262174784,6907.89816290034,-1.48308168181757,-0.0830766110275363,0,1,-25.5926516013606,-6.0,29.2550427964985,2.27571501537425,12.9648563432074,264,347.2,0.76036866359447,-0.76036866359447,6907.75,6900.5,-25,4,0,0,0,0,0,0
2026-02-16 09:30:00,6899.5,6901.5,6901.75,6899.5,-2.0,0.25,0.0,2.25,6901.5,6902.5,6900.75,-0.75,6902.25,6903.0,6901.0,1.25,6901.0,6902.0,6900.5,-0.5,6902.0,6902.75,6900.75,-0.75,6903.0,6904.5,6902.5,-1.25,6902.43661937884,6904.76512554749,6906.34675796945,6907.81459909039,-1.48646534545423,-0.31646128882312,0,1,-33.2583963615471,-7.75,30.3579818235945,2.27387822856181,13.0609149756056,322,345.45,0.932117527862209,-0.932117527862209,6907.25,6899.5,-31,0,0,0,0,0,0,0
