iter	Passed	Remaining
0	71	35787
1	83	20714
2	96	16000
3	105	13123
4	114	11377
5	126	10405
6	135	9573
7	145	8953
8	155	8492
9	166	8147
10	175	7823
11	189	7691
12	198	7430
13	206	7167
14	218	7064
15	227	6872
16	235	6697
17	247	6637
18	255	6477
19	264	6343
20	276	6316
21	289	6280
22	298	6190
23	310	6158
24	320	6097
25	329	5998
26	339	5953
27	349	5887
28	358	5821
29	369	5791
30	378	5722
31	387	5673
32	398	5644
33	408	5602
34	417	5548
35	429	5540
36	437	5479
37	446	5431
38	456	5397
39	468	5388
40	478	5351
41	489	5341
42	498	5300
43	514	5335
44	530	5359
45	542	5353
46	555	5357
47	564	5319
48	574	5291
49	590	5314
50	600	5289
51	612	5274
52	621	5242
53	631	5217
54	641	5190
55	651	5163
56	660	5133
57	673	5129
58	683	5112
59	694	5094
60	706	5081
61	715	5054
62	724	5028
63	737	5026
64	747	5004
65	756	4973
66	767	4959
67	775	4927
68	784	4898
69	794	4879
70	801	4844
71	810	4818
72	820	4801
73	831	4789
74	840	4763
75	847	4730
76	857	4713
77	868	4699
78	876	4672
79	888	4666
80	896	4637
81	904	4610
82	913	4587
83	922	4566
84	929	4537
85	937	4514
86	949	4505
87	956	4478
88	965	4456
89	976	4450
90	984	4422
91	992	4400
92	999	4373
93	1007	4353
94	1016	4334
95	1025	4314
96	1033	4292
97	1043	4280
98	1051	4260
99	1060	4241
100	1073	4239
101	1081	4221
102	1092	4209
103	1108	4219
104	1116	4198
105	1125	4182
106	1141	4190
107	1150	4176
108	1161	4166
109	1170	4149
110	1178	4129
111	1186	4108
112	1197	4101
113	1204	4079
114	1212	4060
115	1224	4054
116	1232	4034
117	1240	4015
118	1247	3994
119	1258	3984
120	1265	3964
121	1275	3951
122	1289	3951
123	1296	3930
124	1304	3913
125	1318	3914
126	1326	3895
127	1336	3882
128	1348	3877
129	1359	3869
130	1368	3855
131	1380	3848
132	1388	3832
133	1398	3819
134	1408	3807
135	1416	3791
136	1426	3778
137	1435	3765
138	1444	3750
139	1455	3742
140	1463	3727
141	1475	3718
142	1484	3705
143	1492	3689
144	1503	3680
145	1511	3665
146	1520	3651
147	1531	3641
148	1539	3625
149	1548	3612
150	1557	3598
151	1565	3584
152	1573	3568
153	1581	3553
154	1594	3547
155	1601	3532
156	1612	3523
157	1625	3518
158	1633	3503
159	1642	3489
160	1651	3478
161	1660	3463
162	1670	3453
163	1680	3443
164	1689	3430
165	1697	3416
166	1706	3403
167	1717	3393
168	1725	3379
169	1733	3364
170	1742	3352
171	1752	3342
172	1761	3329
173	1772	3320
174	1780	3306
175	1791	3297
176	1801	3287
177	1814	3282
178	1825	3274
179	1837	3267
180	1846	3253
181	1854	3240
182	1864	3230
183	1874	3218
184	1882	3205
185	1891	3192
186	1902	3183
187	1909	3169
188	1916	3154
189	1925	3141
190	1934	3129
191	1943	3118
192	1956	3111
193	1964	3098
194	1973	3087
195	1980	3072
196	1992	3064
197	1999	3050
198	2008	3038
199	2018	3028
200	2026	3015
201	2034	3000
202	2041	2987
203	2054	2981
204	2064	2970
205	2071	2957
206	2085	2952
207	2093	2938
208	2102	2927
209	2114	2920
210	2123	2908
211	2133	2897
212	2145	2890
213	2153	2877
214	2163	2867
215	2176	2861
216	2184	2848
217	2193	2837
218	2206	2830
219	2214	2818
220	2224	2807
221	2236	2800
222	2245	2788
223	2254	2777
224	2269	2773
225	2278	2761
226	2287	2750
227	2300	2744
228	2308	2731
229	2316	2719
230	2325	2708
231	2336	2698
232	2345	2687
233	2356	2678
234	2363	2665
235	2372	2653
236	2382	2643
237	2393	2634
238	2401	2622
239	2409	2610
240	2420	2601
241	2431	2592
242	2440	2580
243	2452	2572
244	2460	2560
245	2470	2551
246	2480	2540
247	2487	2527
248	2497	2517
249	2508	2508
250	2516	2496
251	2525	2485
252	2532	2472
253	2544	2464
254	2550	2450
255	2559	2439
256	2571	2431
257	2580	2420
258	2589	2409
259	2599	2399
260	2609	2389
261	2617	2377
262	2624	2364
263	2634	2355
264	2642	2343
265	2651	2332
266	2660	2321
267	2668	2309
268	2676	2298
269	2686	2288
270	2698	2279
271	2706	2268
272	2714	2257
273	2728	2250
274	2736	2239
275	2746	2228
276	2759	2221
277	2766	2208
278	2775	2198
279	2788	2190
280	2797	2179
281	2803	2167
282	2811	2156
283	2821	2145
284	2828	2133
285	2835	2121
286	2846	2112
287	2854	2100
288	2861	2089
289	2868	2076
290	2878	2067
291	2884	2055
292	2893	2043
293	2903	2034
294	2912	2023
295	2918	2011
296	2926	1999
297	2934	1989
298	2943	1978
299	2949	1966
300	2958	1956
301	2970	1947
302	2978	1936
303	2985	1924
304	2993	1914
305	3003	1904
306	3011	1892
307	3017	1880
308	3027	1871
309	3034	1860
310	3042	1849
311	3050	1837
312	3060	1828
313	3069	1818
314	3077	1807
315	3086	1797
316	3095	1786
317	3102	1775
318	3110	1765
319	3120	1755
320	3126	1743
321	3133	1732
322	3141	1721
323	3151	1712
324	3160	1701
325	3169	1691
326	3180	1682
327	3188	1671
328	3193	1660
329	3201	1649
330	3209	1638
331	3218	1628
332	3224	1617
333	3231	1606
334	3240	1596
335	3247	1585
336	3253	1573
337	3259	1562
338	3268	1552
339	3276	1541
340	3282	1530
341	3288	1519
342	3294	1507
343	3302	1497
344	3307	1486
345	3312	1474
346	3318	1463
347	3324	1452
348	3334	1442
349	3339	1431
350	3344	1419
351	3350	1408
352	3356	1397
353	3364	1387
354	3370	1376
355	3375	1365
356	3382	1354
357	3386	1343
358	3395	1333
359	3401	1322
360	3406	1311
361	3411	1300
362	3417	1289
363	3425	1279
364	3431	1269
365	3437	1258
366	3443	1247
367	3452	1238
368	3460	1228
369	3467	1218
370	3472	1207
371	3480	1197
372	3487	1187
373	3492	1176
374	3498	1166
375	3505	1155
376	3513	1146
377	3519	1135
378	3525	1125
379	3531	1115
380	3536	1104
381	3543	1094
382	3550	1084
383	3555	1074
384	3561	1063
385	3566	1053
386	3575	1043
387	3581	1033
388	3587	1023
389	3592	1013
390	3597	1002
391	3605	993
392	3611	983
393	3616	972
394	3621	962
395	3627	952
396	3634	942
397	3639	932
398	3643	922
399	3650	912
400	3656	902
401	3663	893
402	3669	883
403	3674	873
404	3679	863
405	3685	853
406	3690	843
407	3698	834
408	3704	824
409	3710	814
410	3715	804
411	3720	794
412	3728	785
413	3734	775
414	3739	765
415	3745	756
416	3750	746
417	3760	737
418	3765	727
419	3770	718
420	3775	708
421	3780	698
422	3788	689
423	3795	680
424	3801	670
425	3807	661
426	3813	652
427	3821	642
428	3827	633
429	3835	624
430	3841	614
431	3848	605
432	3858	597
433	3864	587
434	3871	578
435	3883	570
436	3891	561
437	3898	551
438	3904	542
439	3916	534
440	3922	524
441	3928	515
442	3934	506
443	3943	497
444	3950	488
445	3955	478
446	3964	470
447	3974	461
448	3980	452
449	3987	443
450	3994	433
451	4001	424
452	4008	415
453	4014	406
454	4021	397
455	4028	388
456	4035	379
457	4040	370
458	4046	361
459	4054	352
460	4062	343
461	4068	334
462	4074	325
463	4083	316
464	4091	307
465	4098	299
466	4103	289
467	4109	280
468	4114	271
469	4122	263
470	4127	254
471	4133	245
472	4138	236
473	4144	227
474	4150	218
475	4157	209
476	4162	200
477	4167	191
478	4173	182
479	4179	174
480	4187	165
481	4195	156
482	4200	147
483	4207	139
484	4218	130
485	4223	121
486	4229	112
487	4235	104
488	4246	95
489	4251	86
490	4257	78
491	4264	69
492	4273	60
493	4281	52
494	4288	43
495	4294	34
496	4303	25
497	4310	17
498	4317	8
499	4323	0
